client_id,risk_score
16232187004609117410,31
14902696327131978534,68
9430084170785295282,63
5690302996830704662,29
13760482354631349809,28
17101866500023398056,35
13421640938004206457,56
4265140108082167961,80
16911701211089180592,95
4321854890391789676,80
6333443634796325581,25
399019310740867488,93
4213439686307743962,40
10590138530861826243,41
595851239291980395,38
10807663038294835220,88
3384871011133392012,95
4984961639810211110,26
5704148907557281205,70
10033059032804681446,24
56891395769713921,67
5523308024587971937,50
12521792891984289413,91
12744250419231381071,69
13433045721508965712,91
9713035451807651338,21
3354113851288981747,83
14234138725140140916,21
13519602075883969693,63
14106338631183581796,52
15392701000723541502,70
15547923096183794204,74
2161412975347754340,33
5101776804963603039,49
14187131262189729387,37
11447879825279155174,29
5086728586569505203,27
3048658368828669868,81
13716842369026035543,20
15607140881289097041,72
6302033523500927923,55
2544715295640882026,88
18353713312077183710,44
16439425317667531438,28
4189127989054277652,39
12756311021001622076,30
17765474694633621578,78
12049111758757147456,89
7758346624740259345,73
11175372654418531520,83
9258320934512250049,49
93992542511845696,34
11971268150501208508,48
3360102109864818138,94
16427824547907818471,60
2342138241097781150,89
3985446986781538382,64
11184281390171663380,34
6327806559506513187,36
391434042357759170,25
7362542858722727709,21
12892981569735800558,92
9005584850104883893,70
901626364662815072,47
2932871813044969173,27
530081372083232977,82
5387091163936504428,41
5278266752608516661,90
10257926213704297636,92
14732172943526647800,93
14452827497602795209,66
7996728686577991927,52
8386545169856365114,82
11341751517758348102,57
9296220785505221012,76
10402828262241802736,44
5145792962630664131,33
1171241802307513606,90
2230269125369135135,86
13995705212583602962,48
7233887214431174384,76
6199670828113538776,49
13157840899883099017,62
2381478959872774921,63
2128342267176881160,51
14986491352756977747,65
6819387436776228828,84
10989194914367201366,51
18417845684261221458,57
3749825468860979148,88
3576254351279695232,62
8731445362769016729,69
8020548506214324857,24
6026705026392130957,30
2387352785585059102,58
1491454828106157168,70
17522429267276107605,69
3858937774081905689,63
13183418869028462146,33
7934800784662079242,32
13954121822394182928,63
