client_id,risk_score
4340975306794746811,80
456624869942370010,20
13495887814664791871,62
3323756135498793185,50
9968350653879056025,35
3849075804340892325,86
11676979436767938880,75
934607890282590564,65
403973295934814651,35
5652519095246999043,41
6971264293739104690,39
1970785368875502568,50
5069510003404976415,63
15896025788896077327,79
10681546348633634977,22
13871020937264729018,86
12864719701221048353,44
13242278405282822328,60
4920147760623938950,81
5755812501162429136,57
17260841296291854470,65
11646217240694224461,26
10392999329692957113,29
14839471456099196511,85
775953786431945623,78
910816212459316484,93
9296653007966024821,87
1724512345692859102,27
16029503715090195174,33
1643454421615052090,55
14605527411822301930,85
16848549126412548231,78
367326782662430788,27
11219788138167081935,94
16678608310725774235,23
5089758608417406528,53
6956996945597886414,45
6580073443505438980,54
7269868752759153004,65
718387336223747798,60
15342175977880554114,48
6704046470222773978,52
5318876998429539015,88
13232062944767720431,83
14017268639568744299,20
1815964089366583165,33
9410853590088421818,43
2913043601829426115,86
9475956352526435694,87
9503514639009038021,69
8415073344565395787,22
1909371810973889362,50
7488400075735855126,87
5120228528172634829,82
12810029376550403741,31
15742494896344922753,89
16545483930775476831,27
3552815566307287368,63
8895264820852694589,56
12046570293935022978,65
11083961894944144745,74
10212908706550386912,93
2534939393420800953,54
4252306621632231415,65
9149021417005831569,36
18352707931386701629,72
668255813649793067,65
6928320510055615279,53
7237731441927342112,82
10769774765187393124,35
10586209162855659365,91
17373011530185602427,54
9136571504707955511,89
8163532548571337776,81
4230484844762655114,58
9108967588326369615,33
1039277742874756349,35
13811749409867466852,86
5294737380437002799,89
1056449759677746347,42
9912245817229615608,36
15040429391346200165,74
17935233829560822705,27
10060142439286529358,51
62910461699532545,62
11389276708626662485,62
16691643729314199692,47
13932700681365598555,53
14326031418650037948,69
1248727319730043839,57
11598929003903150760,22
11940929735871693696,21
14001492170341393392,35
9158666302622756857,70
8881982118448002029,64
8338397039920377153,74
7962336041186909991,40
12949320550973536864,53
16655987600022059516,59
491960118655276603,63
10369646747454505555,28
779565312307141705,89
6864372772279727256,75
6937086613246033941,59
493570635944816311,46
6969726386614111585,74
13048823650200793770,75
14866813411035348566,91
7885672391042907056,22
10482233979472956592,33
9549526800674629531,31
10760697822694882048,20
16536700110770450613,86
12427688184771683179,37
330308782811666193,58
5363948305636833007,44
14541856648409672510,46
2660382409201527250,57
7130721251690279267,84
17913596768910986530,27
17925960890119931805,66
11178604706414757642,41
3584198969314570405,35
17906880005142925781,85
11498347822672730316,38
5022975420945504124,62
1926926420513853477,39
2550193160088995271,28
4126051864692732223,28
14511609252779616993,65
14834612086866438068,92
17772218508081771590,33
10987801415599695403,88
1295064495838514789,61
3540235281734168068,84
11475539950426515028,56
8387476574129553727,60
98297935241895544,89
15580852701120698467,62
10214204123471661914,85
5054817358684434609,94
2677705839498615707,54
16907845330805869497,42
7061054526814108322,89
15653106898391426880,91
17025593346853385698,88
345159074549346534,75
14489917416608820277,67
10029697639313865788,37
16461527537940035141,80
9575629124721901161,94
13225060275920911458,24
16595056297820567492,23
15170046227036922258,32
812748610198737018,50
12160263886673284506,72
9854302347612723288,60
18436206764350863563,53
15491945528316065204,47
2587715225071712499,44
12849331031008226774,61
14285898406848024512,68
3203828177962799847,62
11863054038198930288,54
4780740838566169685,95
12576564070501574346,35
14354104753106667252,85
12767912839174397857,49
7494465973412127130,74
4818606462818815772,49
2277985757945407695,80
9370249609906289792,56
16514562379141982398,40
14797435432883991144,41
10600075864037988694,36
4279381899604963230,36
8092305174754738094,53
14220534607524875315,59
17192819405055098437,64
8220995974446264710,20
13093254812342040310,43
16682865511563783062,61
14699796176185086461,82
8751176252761699973,82
176880680872125294,47
10516942977284531874,82
5806847637640574612,45
6042408454143725928,60
8108479030725757095,51
14081229750219615985,48
14396484595456155716,87
6345333052849581213,23
16453729711375322479,21
5097926372129204161,37
565563254089326886,71
9186673513235579887,85
7395196156352893875,86
12046420504084895623,81
7070783047387990744,24
17737601965964843870,35
14090499662915013022,93
5025345582222274343,41
4576804664241475881,77
4665591588803494831,79
248310826859312184,47
8143255186669976740,69
15930246700754047929,92
