client_id,risk_score
4340975306794746811,92
8589998581929090464,27
1946499511491515750,50
2547434139491563180,34
8568076679236030164,50
5057447908700298379,59
15617011701710825543,27
8028752630050749515,61
5652519095246999043,31
15907143598135994037,56
6971264293739104690,89
3601981442768219842,71
4486363582542643519,95
13197238967721499641,66
5755812501162429136,70
17260841296291854470,36
10078652145183808524,87
14839471456099196511,54
8269426381730612387,53
910816212459316484,94
7102183999451561697,87
8345102775644775357,66
10963351493269664279,43
13938729456999432363,37
1643454421615052090,85
9227946267918357808,59
14605527411822301930,95
11696212087720933662,39
3013103508755183602,95
5304347945996871817,72
18110776499412230845,95
11219788138167081935,59
1696598794425843377,84
5089758608417406528,26
6956996945597886414,28
2620627046504643793,66
15342175977880554114,75
16222919669858730697,41
1815964089366583165,59
10970416364725936181,33
345661749562882353,29
5935418656879792645,54
9475956352526435694,74
9541962834467870783,68
3102862460877417822,89
6186170957087463441,64
1909371810973889362,52
6623940016215007399,74
12963603135022981764,28
8930014576061175982,65
16545483930775476831,55
3552815566307287368,80
16326650034008201200,68
12046570293935022978,48
11083961894944144745,87
8955777908284739974,65
18352707931386701629,40
14188720150203188213,55
6798786843776940583,62
15964477675447791747,29
6489642097396099046,78
15179993734684682594,84
668255813649793067,64
15953169166187239410,39
12445334550896451064,50
7238443188369711378,42
17373011530185602427,20
9767410692701838083,71
9108967588326369615,89
5543984950102076131,76
1039277742874756349,95
10155750473266735677,90
15040429391346200165,30
1269884377619529055,78
10060142439286529358,64
1716524526262260651,92
7740348902617702448,77
2589440192715078434,74
16691643729314199692,90
9313165044173295169,48
10814007065282340198,25
3752661426152611665,82
9795589570985148841,74
5019554971070694967,86
14045536056208235539,56
8881982118448002029,73
2344870471351688044,26
7962336041186909991,53
5063230975411486319,50
15784520486804037460,20
7233153489639895940,40
10619163230751151925,48
6937086613246033941,81
13664063620468117354,76
13048823650200793770,60
14632815759587700947,23
6882097910464438876,41
954253900997300355,78
10840007991187949346,38
2712680153146729331,33
14541856648409672510,91
15323527029695272620,42
18123174591529713699,64
16576884589228157014,88
17792785447019614387,93
17385800385080594040,26
4445333128546032645,82
3522019579345841770,87
7944473150159146670,94
2677595179495864399,83
16668862921872461495,91
16747885878809465713,73
2550193160088995271,72
4126051864692732223,29
14511609252779616993,88
17772218508081771590,73
5067613182351122332,80
11497455741562637197,41
17188750840329262615,50
9903636961675811457,82
3296418538399360122,36
10214204123471661914,90
2677705839498615707,50
1284097678612779407,31
7989785117260725533,62
1914430854426722192,79
14541420298908170457,90
4844613100327888164,35
9586519346996316260,36
15466278084109171638,65
17597503242798161645,47
161154737430226371,31
10495497088302640268,55
3728050576542660706,78
8977946553729326492,43
10505816730615002247,65
5434362104646260159,65
6380364892817253763,23
17836240655046745291,92
9398967376651727564,65
18196795487343209951,84
14131450449392039029,57
11367768109381748954,80
1439565594456541755,26
2587715225071712499,63
1604416180033376353,91
15581072278536576583,73
3860190486066355886,87
14354104753106667252,70
8548647659680210144,87
5689491745271208511,29
8794148253916842509,84
15771527049364325814,23
2277985757945407695,95
9395603281115876918,48
16514562379141982398,21
4279381899604963230,52
10529031739768084298,95
6332494521871868342,26
11787697689599227165,37
14956269461526388810,49
17881913424423124469,40
12644033216906363689,30
9986844869099494922,29
15435240920692160978,48
9916822006568418068,48
14699796176185086461,75
